english,chinese,partOfSpeech,pronunciation
starve,挨饿,verb,/stɑːv/
survive,生存,verb,/səˈvaɪv/
review,复习,verb,/rɪˈvjuː/
influence,影响,verb,/ˈɪnfluəns/
conclusion,结论,noun,/kənˈkluːʒn/
solution,解决办法,noun,/səˈluːʃn/
challenge,挑战,noun,/ˈtʃælɪndʒ/
achievement,成就,noun,/əˈtʃiːvmənt/
discovery,发现,noun,/dɪˈskʌvəri/
creativity,创造力,noun,/ˌkriːeɪˈtɪvəti/
failure,失败,noun,/ˈfeɪljə(r)/
success,成功,noun,/səkˈses/
independent,独立的,adjective,/ˌɪndɪˈpendənt/
confident,自信的,adjective,/ˈkɒnfɪdənt/
determined,坚决的,adjective,/dɪˈtɜːmɪnd/
generous,慷慨的,adjective,/ˈdʒenərəs/
humorous,幽默的,adjective,/ˈhjuːmərəs/
intelligent,聪明的,adjective,/ɪnˈtelɪdʒənt/
modest,谦虚的,adjective,/ˈmɒdɪst/
organized,有条理的,adjective,/ˈɔːɡənaɪzd/
patient,有耐心的,adjective,/ˈpeɪʃnt/
responsible,负责任的,adjective,/rɪˈspɒnsəbl/
suitable,合适的,adjective,/ˈsuːtəbl/
contribution,贡献,noun,/ˌkɒntrɪˈbjuːʃn/
invitation,邀请,noun,/ˌɪnvɪˈteɪʃn/
devotion,奉献,noun,/dɪˈvəʊʃn/
kindness,善良,noun,/ˈkaɪndnəs/
wisdom,智慧,noun,/ˈwɪzdəm/
ancient,古代的,adjective,/ˈeɪnʃənt/
modern,现代的,adjective,/ˈmɒdn/
traditional,传统的,adjective,/trəˈdɪʃənl/
cultural,文化的,adjective,/ˈkʌltʃərəl/
historical,历史的,adjective,/hɪˈstɒrɪkl/
architectural,建筑的,adjective,/ˌɑːkɪˈtektʃərəl/
symbol,象征,noun,/ˈsɪmbl/
relic,遗迹,noun,/ˈrelɪk/
statue,雕像,noun,/ˈstætʃuː/
temple,寺庙,noun,/ˈtempl/
palace,宫殿,noun,/ˈpæləs/
castle,城堡,noun,/ˈkɑːsl/
monument,纪念碑,noun,/ˈmɒnjumənt/
mummy,木乃伊,noun,/ˈmʌmi/
pyramid,金字塔,noun,/ˈpɪrəmɪd/
pottery,陶器,noun,/ˈpɒtəri/
artifact,手工艺品,noun,/ˈɑːtɪfækt/
ruin,废墟,noun,/ˈruːɪn/
preserve,保护,verb,/prɪˈzɜːv/
restore,修复,verb,/rɪˈstɔː(r)/
rebuild,重建,verb,/ˌriːˈbɪld/
construct,建造,verb,/kənˈstrʌkt/
design,设计,verb,/dɪˈzaɪn/
create,创造,verb,/kriˈeɪt/
originate,起源,verb,/əˈrɪdʒɪneɪt/
environment,环境,noun,/ɪnˈvaɪrənmənt/
ecology,生态学,noun,/iˈkɒlədʒi/
pollution,污染,noun,/pəˈluːʃn/
waste,废物,noun,/weɪst/
rubbish,垃圾,noun,/ˈrʌbɪʃ/
litter, litter,noun,/ˈlɪtə(r)/
recycle,回收利用,verb,/ˌriːˈsaɪkl/
reuse,重复使用,verb,/ˌriːˈjuːz/
reduce,减少,verb,/rɪˈdjuːs/
conserve,保护,verb,/kənˈsɜːv/
preserve,维护,verb,/prɪˈzɜːv/
protect,保护,verb,/prəˈtekt/
damage,损害,verb,/ˈdæmɪdʒ/
destroy,破坏,verb,/dɪˈstrɔɪ/
harm,伤害,verb,/hɑːm/
threaten,威胁,verb,/ˈθretn/
endanger,危及,verb,/ɪnˈdeɪndʒə(r)/
extinct,灭绝的,adjective,/ɪkˈstɪŋkt/
rare,稀有的,adjective,/reə(r)/
precious,珍贵的,adjective,/ˈpreʃəs/
valuable,有价值的,adjective,/ˈvæljuəbl/
